,key,counts
275,weirdos,1
367,know,1
365,wanting,1
364,trouble-free,1
363,stress-free,1
361,call,1
360,phone,1
359,ben,1
358,email,1
357,via,1
356,reply,1
355,plus,1
354,huge,1
368,people's,1
353,--,1
351,private,1
350,rented,1
349,backyard,1
346,post-grad,1
345,start,1
344,feel,1
343,members,1
342,redefined,1
341,co-living,1
340,future,1
337,book,1
335,rentals,1
352,entrances,1
369,concerned,1
370,member,1
371,since,1
409,those,1
408,go,1
407,having,1
406,without,1
405,ny,1
404,renovated,1
402,decent,1
400,faster,1
399,problems,1
398,solving,1
397,requests,1
396,now,1
395,extension,1
394,maintenance,1
392,concerns,1
389,request,1
388,submit,1
386,resident,1
385,ago,1
382,website's,1
381,updated,1
380,improvement,1
378,wonky,1
377,e-mail,1
374,admit,1
373,2017,1
372,july,1
334,satisfied,1
333,told,1
332,took,1
331,referred,1
288,get,1
287,want,1
284,ratio,1
283,bathroom,1
282,bedroom,1
281,3:1,1
280,units,1
279,small,1
549,i'm,1
274,lead,1
273,which,1
272,random,1
271,maid,1
270,biweekly,1
269,including,1
268,usually,1
265,understand,1
264,laid,1
261,between,1
260,switch,1
257,coolest,1
256,probably,1
255,harlem,1
254,side,1
253,east,1
252,upper,1
251,brooklyn,1
289,cheap,1
410,headache-inducing,1
290,need,1
295,seem,1
330,eventually,1
329,become,1
328,interesting,1
325,roomies,1
324,finally,1
323,spaces,1
322,parking,1
321,common,1
320,backyards,1
317,nicely,1
316,kitchens,1
315,spacious,1
314,cozy,1
313,houses,1
312,us,1
311,history,1
307,applied,1
306,though,1
305,fast,1
303,turned,1
302,options,1
301,accommodation,1
300,seeking,1
299,eu,1
298,nj,1
297,visit,1
296,6,1
293,advance,1
249,decided,1
411,messy,1
413,checks,1
517,hour,1
516,complimentary,1
515,onsite,1
514,services,1
513,surprises:,1
512,arrive,1
511,books,1
510,clothes,1
509,one,1
508,buy,1
507,surprises,1
506,reality,1
518,gatherings,1
505,true,1
503,360,1
502,photos,1
501,yourself,1
500,scope,1
499,renters,1
498,difficult,1
497,notoriously,1
496,dreams,1
495,existed,1
494,country,1
493,cross,1
492,streamlined,1
504,degree,1
519,rentersprospects,1
520,being,1
521,-,1
548,see,1
547,you'll,1
546,curiosity,1
545,try,1
544,websites,1
543,craigslist,1
542,trying,1
541,waste,1
540,after,1
539,answer,1
538,locations,1
537,modern,1
536,layout,1
535,navigate,1
534,simplified,1
533,mean,1
532,pain,1
531,take,1
530,say,1
529,focused,1
528,they're,1
527,checking,1
526,card,1
525,charge,1
524,payments,1
523,monthly,1
522,split,1
491,realtor,1
490,offers,1
488,meet,1
487,network,1
452,wish,1
451,needing,1
449,knowing,1
448,light,1
447,best,1
445,became,1
444,lucky,1
443,we,1
442,treasures,1
440,transition,1
439,didn’t,1
438,still,1
437,findthen,1
434,sublet,1
433,expectations,1
432,exceeded,1
431,booked,1
430,skeptical,1
428,listed,1
426,itself,1
425,check,1
421,keep,1
420,alright,1
419,cost,1
417,bi-monthly,1
416,costs,1
414,coming,1
453,around,1
412,background,1
454,times,1
457,internet,1
486,events,1
485,social,1
484,furthermore,1
483,schedule,1
482,patient,1
481,ancillary,1
480,employment,1
479,hospitals,1
478,close,1
476,comfortably,1
475,affordably,1
474,goal,1
473,out-of-state,1
472,doctor,1
471,young,1
470,hours,1
469,fun,1
468,sometimes,1
467,resolved,1
466,until,1
465,issues,1
464,follow,1
463,needs,1
462,additional,1
461,1,1
459,dishesetc,1
458,heatingac,1
455,year,1
247,recommended,1
550,talking,1
83,based,1
129,building,1
125,3,1
188,where,1
40,2,1
190,forced,1
124,by,1
192,secluded,1
38,stayed,1
123,shared,1
36,whole,1
195,own,1
196,family,1
198,stress,1
120,price,1
71,bedly's,1
65,effortless,1
117,enough,1
201,eliminated,1
202,support,1
203,team,1
73,excellent,1
204,reachable,1
114,disorganized,1
48,described,1
74,responded,1
131,lovely,1
51,allowed,1
64,almost,1
151,access,1
147,while,1
154,central,1
155,avenue,1
156,jfk,1
144,warm,1
143,providing,1
142,much,1
161,ask,1
162,for?,1
62,questionsconcerns,1
164,felt,1
82,quickly,1
166,little,1
167,away,1
60,respond,1
169,cant,1
170,wait,1
135,beds,1
134,comfy,1
245,appliances,1
132,peaceful,1
49,pictured,1
208,importantly,1
148,jersey,1
100,painless,1
96,organized,1
102,jake,1
224,kept,1
225,themselves,1
226,deciding,1
237,contacted,1
236,once,1
228,never,1
77,explained,1
101,addition,1
99,search,1
78,everything,1
80,solved,1
79,clearly,1
235,reviews,1
234,across,1
93,has,1
95,clear,1
209,list,1
223,mostly,1
20,am,1
240,helped,1
210,reasonable,1
211,prices,1
85,kindness,1
112,highly,1
2,space,1
75,immediately,1
86,professionalism,1
215,used,1
104,agent,1
107,his,1
76,emails,1
81,problem,1
218,promoted,1
219,boston,1
220,six,1
106,went,1
67,definitely,2
145,wonderful,2
460,ready,2
90,housing,2
375,only,2
383,dashboard,2
456,area,2
89,looking,2
450,many,2
387,option,2
424,booking,2
68,use,2
113,bit,2
427,exactly,2
429,online,2
116,friendly,2
109,make,2
121,two,2
435,unhappy,2
122,bathrooms,2
436,every,2
477,live,2
140,thanks,2
127,well,2
403,recently,2
401,worked,2
441,into,2
97,made,2
70,again,2
137,kitchen,2
393,—,2
138,etc,2
391,various,2
390,ticket,2
128,laundry,2
415,fully,2
165,like,2
187,places,2
222,everyone,2
327,met,2
319,beautiful,2
194,day,2
34,throughout,2
199,finding,2
33,reliable,2
310,credit,2
267,included,2
309,no,2
231,house,2
308,notice,2
152,convenient,2
205,extremely,2
32,questions,2
207,most,2
212,especially,2
294,makes,2
229,thought,2
292,far,2
291,look,2
214,professional,2
276,it's,2
217,got,2
278,tend,2
42,overall,2
185,not,2
22,found,2
233,came,2
244,provided,2
243,already,2
242,because,2
9,here,2
159,could,2
63,communication,2
258,part,2
348,amenities,2
172,back,2
489,love,2
174,community,2
347,life,2
176,attentive,2
16,first,2
181,long,2
262,available,2
338,pay,2
53,tour,2
59,quick,2
5,an,3
266,utilities,3
227,move,3
88,anyone,3
446,able,3
11,such,3
94,website,3
230,renting,3
232,then,3
259,can,3
241,at,3
376,through,3
304,right,3
285,good,3
153,both,3
146,place,3
379,lot,3
366,don't,3
157,what,3
158,more,3
362,needed,3
384,few,3
171,come,3
55,moved,3
178,easily,3
105,really,3
54,before,3
130,stay,3
46,just,3
326,i've,3
191,be,3
118,pretty,3
418,cleaning,3
422,up,3
213,super,3
110,smooth,3
286,if,3
182,term,3
30,helpful,4
246,there,4
0,loved,4
339,always,4
277,also,4
206,responsive,4
200,furniture,4
136,clean,4
189,your,4
423,work,4
149,city,4
183,apartments,4
250,rent,4
180,or,4
92,york,4
336,find,4
111,possible,4
24,about,5
37,process,5
197,friends,5
84,on,5
87,recommend,5
179,short,5
13,roommates,5
238,them,5
239,that,5
8,living,5
7,time,5
6,amazing,5
248,some,5
1,this,5
21,happy,5
17,moving,5
41,months,5
133,home,5
108,way,5
119,nice,5
177,accommodating,5
173,situation,5
175,staff,5
126,people,6
139,,6
28,been,6
216,when,6
318,furnished,6
52,me,6
43,experience,6
50,even,6
91,new,7
168,from,7
115,but,7
69,their,7
186,other,7
31,any,7
66,would,7
221,were,7
98,apartment,8
263,rooms,8
141,so,8
160,you,8
4,had,9
150,easy,10
45,room,10
19,nyc,10
57,customer,10
193,all,11
163,it,11
184,are,11
26,they,13
23,out,13
29,very,13
47,as,14
58,service,14
12,great,16
27,have,16
14,with,16
61,of,17
72,is,21
39,for,22
15,my,24
44,was,26
56,in,28
25,bedly,33
3,i,40
103,a,47
35,the,49
18,to,61
10,and,74
